0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582,596,589,598,601,594,861,858,592
0.3,0.0,0.0,0.0,1.934065934,0.0,0.0,0.0,0.790960452,581,596,589,598,601,594,855,857,592
0.6,0.0,0.0,0.0,3.956043956,0.0,0.0,0.0,0.790960452,582,596,590,598,600,594,858,859,592
1.0,0.0,0.0,0.0,5.89010989,0.0,0.0,0.0,1.468926554,581,596,589,598,601,594,858,859,592
1.2,0.0,0.0,0.0,7.912087912,-0.003310381357421875,0.0,0.0,0.790960452,581,596,589,598,601,595,858,859,592
1.6,0.0,0.0,0.0,9.934065934,0.0,0.0,0.0,0.790960452,582,596,589,598,601,594,861,856,592
1.9,0.0,0.0,0.087912088,11.95604396,0.0,0.0,0.0,0.790960452,582,596,590,598,600,594,857,855,592
2.2,0.0,0.0,0.087912088,13.89010989,0.0,0.003310381357421875,0.003310381357421875,1.468926554,582,596,590,599,601,594,858,858,592
2.5,0.0,0.0,0.0,15.91208791,0.0,0.0,0.003310381357421875,1.468926554,582,596,590,598,601,594,858,859,592
2.8,0.0,0.0,0.0,17.93406593,0.0,0.0,0.0,0.790960452,582,596,589,597,601,594,858,858,592
3.1,0.0,0.0,0.0,19.95604396,0.0,0.0,0.0,0.790960452,582,596,589,598,600,594,860,860,592
3.4,0.0,0.0,0.087912088,21.89010989,0.0,0.0,0.0,1.468926554,581,596,589,598,600,594,858,858,592
3.7,0.0,0.0,0.0,23.82417582,0.0,0.0,0.0,0.790960452,582,596,590,598,601,594,859,856,592
4.0,0.0,0.0,0.0,25.84615385,0.0,0.0,0.0,0.790960452,581,596,590,598,601,594,858,858,592
4.3,0.0,0.0,0.087912088,27.86813187,0.0,0.0,-0.00386211158203125,0.790960452,582,596,590,598,601,595,859,858,592
4.6,0.0,0.0,0.0,29.8021978,0.0,0.0,0.0,1.468926554,582,596,590,598,601,594,858,858,592
4.9,0.0,0.0,0.0,31.82417582,0.0,0.0,0.0,1.468926554,581,596,590,598,601,594,857,852,592
