2024-12-02 20:52:11.184133,654/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.105926,54/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.105926,4/686/676/650/661/656/623/640/645
2024-12-02 20:52:12.150707,4/686/675/650/661/655/624/640/645
2024-12-02 20:52:12.190977,/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.232879,653/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.249450,54/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.286846,4/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.331868,/686/675/650/661/655/624/640/645
2024-12-02 20:52:12.370669,/686/675/650/661/655/623/640/645
2024-12-02 20:52:12.412157,653/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.420422,54/686/676/650/661/655/624/640/645
2024-12-02 20:52:12.466382,3/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.499414,/686/676/650/661/656/624/640/645
2024-12-02 20:52:12.545673,653/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.601685,53/686/675/650/661/655/624/640/645
2024-12-02 20:52:12.635030,4/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.687435,/686/675/650/661/655/623/640/645
2024-12-02 20:52:12.714146,653/686/676/650/661/655/623/640/646
2024-12-02 20:52:12.778534,54/686/676/650/661/655/624/640/645
2024-12-02 20:52:12.818393,4/686/676/650/661/655/623/640/645
2024-12-02 20:52:12.851135,/686/676/650/661/655/624/640/646
2024-12-02 20:52:12.898858,654/686/676/650/661/655/624/640/645
2024-12-02 20:52:12.954763,53/686/676/650/661/656/623/640/645
2024-12-02 20:52:12.994011,4/686/676/650/661/655/623/640/646
2024-12-02 20:52:13.034180,/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.071171,654/686/676/650/661/655/623/640/645
2024-12-02 20:52:13.085886,54/686/676/650/661/655/623/640/645
2024-12-02 20:52:13.130428,54/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.171181,4/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.212640,/686/676/650/661/655/623/640/645
2024-12-02 20:52:13.250607,654/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.265928,53/685/676/649/661/655/623/640/646
2024-12-02 20:52:13.314325,4/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.347000,4/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.379135,/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.426590,654/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.442225,53/686/675/650/661/656/623/641/645
2024-12-02 20:52:13.482490,4/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.522448,4/686/676/650/661/656/623/640/645
2024-12-02 20:52:13.554780,/686/676/650/661/655/624/640/645
2024-12-02 20:52:13.602171,654/686/675/650/661/655/624/640/645
